Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
68868	1	Absoloniella nitidipennis (Osella, 1989)	Spilaio Agiou Ioanni	1	Osella 1989|Caladra 2011|Morrone & Hlaváč 2017|Grebennikov 2014|Beron 2016	445|1216|1168|686|706
27318	2	Acanthocreagris corcyraea Mahnert, 1976	Spilaio Katsampa	2	Mahnert 1976a	274
62587	3	Acanthocreagris lycaonis Mahnert, 1978	Spilaio Garzenikou	3	Beron 2016|Mahnert 1978|Schawaller 1985|Harvey 1991	706|302|404|1193
56395	4	Acanthopetalum albidicolle (Verhoeff, 1900)	Spilaio Megali Grava	4	Stagl & Stoev 2005|Stoev et al. 2008|Moritz & Fischer 1974|Strasser 1970|Strasser 1974|Beron 2016	580|1166|1209|229|258|706
62676	5	Acanthopetalum blanci (Brölemann, 1932)	Spilaio Chavara	6	Strasser 1974|Stoev et al. 2008|Beron 2016	258|1166|706
62677	5	Acanthopetalum blanci (Brölemann, 1932)	Spilaio tou Kitsou	453	Strasser 1976|Beron 2016|Stoev et al. 2008	279|706|1166
62679	5	Acanthopetalum blanci (Brölemann, 1932)	Spilaio Panos	8	Beron 2016|Stoev et al. 2008|Strasser 1974	706|1166|258
65992	5	Acanthopetalum blanci (Brölemann, 1932)	Spilaio Kerateas	7	Brölemann 1932|Wolf 1937b|Wolf 1938|Strasser 1974|Stoev et al. 2008	71|92|97|258|1166
62694	6	Acanthopetalum cycladicum (Verhoeff, 1901)	Spilaio Mavri Trypa	10	Beron 2016	706
62695	6	Acanthopetalum cycladicum (Verhoeff, 1901)	Spilaio Eptamylon	12	Stoev et al. 2008|Beron 2016|Strasser 1976	1166|706|279
62696	6	Acanthopetalum cycladicum (Verhoeff, 1901)	Spilaio Stavrou	11	Strasser 1967|Stoev et al. 2008	209|1166
62697	6	Acanthopetalum cycladicum (Verhoeff, 1901)	Spilaio Drakotrypa	9	Beron 2016|Strasser 1967|Strasser 1976|Strasser 1974|Stoev et al. 2008	706|209|279|258|1166
43815	7	Acanthopetalum furculigerum (Verhoeff, 1901)	Spilaio Diktaio Antro	16	Stoev et al. 2008|Felesaki et al. 2010|Strasser 1976|Strasser 1974	1166|636|279|258
54998	7	Acanthopetalum furculigerum (Verhoeff, 1901)	Spilaio Agias Paraskevis	13	Beron 2016|Felesaki et al. 2010|Stoev et al. 2008|Strasser 1976	706|636|1166|279
70895	7	Acanthopetalum furculigerum (Verhoeff, 1901)	Spilaio Milatou	15	Stoev et al. 2008|Strasser 1976|Felesaki et al. 2010	1166|279|636
62709	8	Acanthopetalum hoplites Strasser, 1973	Spilaio Za	20	Mauriès & Karamaouna 1984|Beron 2016|Stoev et al. 2008	379|706|1166
62710	8	Acanthopetalum hoplites Strasser, 1973	Spilaio Antiparou	17	Stoev et al. 2008|Beron 2016|Mauriès & Karamaouna 1984|Strasser 1973	1166|706|379|253
62711	8	Acanthopetalum hoplites Strasser, 1973	Spilaio Kalampaki	18	Beron 2016|Mauriès & Karamaouna 1984|Stoev et al. 2008	706|379|1166
62712	8	Acanthopetalum hoplites Strasser, 1973	Spilaio Nymfon-Ancient Marble Quarry	19	Stoev et al. 2008|Mauriès & Karamaouna 1984|Beron 2016	1166|379|706
62758	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Agias Triadas Tzagkarolon	107	Felesaki et al. 2010|Lang 1964	636|191
62760	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Koumarospilios	23	Beron 2016|Strasser 1974|Felesaki et al. 2010	706|258|636
62761	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Lera	25	Felesaki et al. 2010|Strasser 1974|Beron 2016	636|258|706
62762	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Agias Sofias	22	Felesaki et al. 2010|Strasser 1967	636|209
62763	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Ellinospilios	101	Lang 1964|Felesaki et al. 2010	191|636
62764	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Lavyrinthos Gortynas	24	Wolf 1938|Wolf 1937b|Verhoeff 1929|Attems 1902|Stoev et al. 2008	97|92|54|18|1166
62765	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Sfentoni Trypa	26	Strasser 1976|Felesaki et al. 2010	279|636
66896	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Katholikou	21	Lang 1964|Strasser 1976|Strasser 1974|Beron 2016|Felesaki et al. 2010	191|279|258|706|636
62811	11	Acanthopetalum patens Strasser, 1973	Spilaio Sklavounakou	30	Beron 2016|Strasser 1974	706|258
62812	11	Acanthopetalum patens Strasser, 1973	Anonymous cave at Peloponnisos	27	Stoev et al. 2008|Strasser 1974|Strasser 1973	1166|258|253
66336	11	Acanthopetalum patens Strasser, 1973	Spilaio Glyfadas Dirou	29	Strasser 1974|Beron 2016	258|706
68240	11	Acanthopetalum patens Strasser, 1973	Spilaio Katafygi Dirou	14	Strasser 1974|Strasser 1973|Stoev et al. 2008|Beron 2016	258|253|1166|706
68303	11	Acanthopetalum patens Strasser, 1973	Spilaio Alepotrypa	28	Strasser 1974|Beron 2016	258|706
27082	12	Acanthopetalum richii (Gray, 1832)	Spilaio Chagioti	31	Strasser 1976	279
45025	12	Acanthopetalum richii (Gray, 1832)	Spilaio Limnon	32	Strasser 1976	279
31928	13	Acanthopetalum sp.	Spilaio Agias Elenis	35	Beron 2016	706
31929	13	Acanthopetalum sp.	Spilaio Drakotrypa	38	Beron 2016	706
31930	13	Acanthopetalum sp.	Mine gallery Skalas Rachoniou	33	Beron 2016	706
31931	13	Acanthopetalum sp.	Spilaio Vredou	47	Beron 2016|Strasser 1974	706|258
31933	13	Acanthopetalum sp.	Spilaio Agias Sofias	36	Beron 2016	706
31934	13	Acanthopetalum sp.	Spilaio Nymfon	43	Beron 2016|Strasser 1976	706|279
31935	13	Acanthopetalum sp.	Spilaio Fytidi	39	Beron 2016|Strasser 1974	706|258
31938	13	Acanthopetalum sp.	Spilaio Katafygi	40	Beron 2016	706
31942	13	Acanthopetalum sp.	Spilaio Kokkalia Trypa	41	Beron 2016	706
31943	13	Acanthopetalum sp.	Spilaio Metaxolakka	34	Beron 2016	706
38737	13	Acanthopetalum sp.	Spilaio Monis Kipinas	48	Beron 2016	706
41699	13	Acanthopetalum sp.	Spilaio Leondariou	42	Beron 2016|Strasser 1974	706|258
54569	13	Acanthopetalum sp.	Spilaio Panos	8	Beron 2016|Strasser 1974	706|258
61205	13	Acanthopetalum sp.	Spilaio Agias Triadas	37	Beron 2016	706
