ID	Short	Title	Year	Section
1	Brunner Von Wattenwyl 1861	Disquisitiones orthopterologicae. Dissertatio II. Nonnulla Orthoptera Europea nove vel minus cognita	1861	Verh. zool.-bot. Ges. Wien, 11: 229-310.
2	Schaum 1862	Beitrag zur Käferfauna Griechenlands	1862	Berl. ent. Z., 6: 101-114.
3	Chaudoir 1868	Description d’espèces nouvelles ou peu connues de Feronia d’Europe et du bassin méditerranéen	1868	L΄ Abeille, Paris., 5: 219-260.
4	Raulin 1869a	Description physique de l’ile de Crète. Tome second	1869	Arthus Bertrand., Paris. pp. 463-1078.
5	Raulin 1869b	Description physique de l’ile de Crète. Tome premier	1869	Arthus Bertrand., Paris. pp. 1-462.
6	Brunner Von Wattenwyl 1882	Prodromus der Europäischen Orthopteren	1882	Engelmann, Leipzig. pp. 1-466.
7	Reitter 1884	Resultate einer coleopterologischen Sammel-Campagne während den Nonateen Februar bis April 1883 auf den Jonischen Inseln	1884	Dt. ent. Z., 28: 101-122.
8	Simon 1885	Arachnides recueillies dans la vallée de Tempe sur le mont Ossa (Thessalie) par M. le Dr. J. Stussiner (de Laibach)	1885	Ann. Soc. Entomol. Fr., 6 (5): 209-217.
9	Stussiner & Böttger 1885	Malakologische Ergebnisse auf Streifzügen in Thessalien	1885	Jb. dtsch. malakol. Ges., Frankfurt a.M., 12: 128-199.
10	Reitter 1886	Übersicht der bekannten Tapinopterus arten	1886	Wien. ent. Ztg., 5: 170-174.
11	Stussiner & Böttger 1886	Malakologische Ergebnisse auf Streifzügen in Thessalien. II	1886	Jb. dtsch. malakol. Ges., Frankfurt a.M., 13: 42-74.
12	Reitter 1887	Neue Coleopteren aus Europa, den angränzenden Ländern und Sibirien, mit Bemerkungen über bekannte Arten	1887	Dt. ent. Z., 31: 241-288.
13	Martens 1889	Griechische Mollusken. Gesammelt von Eberh. von Oertzen	1889	Arch. Naturg., Berlin, 55 (1): 169-240.
14	Ganglbauer 1896	Neue und wening bekannte Carabiden	1896	Verh. zool.-bot. Ges. Wien, 46: 457-467.
15	Hamann 1896	Europäische Höhlenfauna. : Eine Darstellung der in den Höhlen Europas lebenden Tierwelt mit besonderer Berücksichtigung der Höhlenfauna Krains. Nach eigenen Untersuchungen	1896	Jena, H. Costenoble. pp. 296.
16	Fleischer 1898	Neue Trechus-Arten. (Coleoptera)	1898	Wien. ent. Ztg., 17: 57-59.
17	Werner 1902	Beiträge zur Kenntnis der Orthopterenfauna Griechenlands	1902	Berl. ent. Z., 47: 111-118.
18	Attems 1902	Myriapoden von Kreta, nebst Beiträgen zur allgemeinen Kenntnis einiger Gattungen	1902	Sber. Akad. Wiss. Wien, Math.-naturw. Kl. Abt. I, 111 (1): 527-614.
19	Kulczynski 1903	Aranearum et Opilionum species in insula Creta a Comite Dre Carolo Attems collectae	1903	Bull. Int. Acad. Sci. Lett. Cracovie: 32-58.
