ID	Short	Title	Year	Section
725	Aliprantis 1962	The cave “Daimonon” of Paros (CRNr 1398)	1962	Bull. Soc. Speleol. Grèce 6:9–13.
726	Anastasakis & Dermitzakis 1994	Karstic phaenomena and enviromental conditions in the coastal area of Aghios Nikolaos Kriti : the collapses doline of Aghios Nikolaos lake and the cave pot hole of Aghios Charalambos	1994	Bull. Soc. Speleol. Grèce 21:34–39.
727	Angelopoulou 1934	The cave of Karystos	1934	To Vouno Greek Mountaineering Club. 1:242–245.
728	Angelopoulou 1935	The cave of Ermis at Zireia	1935	To Vouno Greek Mountaineering Club. 2:16-19.
729	Anonymous 1957a	Cave Charchampolis (CRNr 879)	1957	Bull. Soc. Speleol. Grèce 4:46.
730	Anonymous 1958b	New researches of the caves in the area of Dyros	1958	Bull. Soc. Speleol. Grèce 4:127-149.
731	Anonymous 1960c	About th cave n1029  "Mavri Troupa" of islet Schiza (Messinia)	1960	Bull. Soc. Speleol. Grèce 5:138-140.
732	Anonymous 1966d	The cave of Tsouka, Pilio	1966	Bull. Soc. Speleol. Grèce 8:143.
733	Argyriadis & Kirdis 1994	Cave - underground river of Genitsari, Setta - Evvoia	1994	Bull. Soc. Speleol. Grèce 21:400–402.
734	Avagiannos 1989	Speleological researches at the area of Olympos, Chios	1989	Bull. Soc. Speleol. Grèce 19:136-140.
735	Avagiannos et al. 1990	Vertical caves of Lesvos	1989	Bull. Soc. Speleol. Grèce 19:157–159.
736	Avdis 1957	The cave of Maroneia	1957	Bull. Soc. Speleol. Grèce 4:19–20.
737	Bartsiokas 1982	The collapsed absorption pothole “Koudounotrypa” of Pyli, Trikala	1982	Bull. Soc. Speleol. Grèce 18:411–417.
738	Brousalis 1954	Karkaros of pigeons of Elikonas	1954	To Vouno Greek Mountaineering Club.
739	Brousalis 1961	The pothole "Propanti" of Leontari	1961	To Vouno Greek Mountaineering Club.
740	Brunet 1994	Le massif de l’ Ida	1994	Bull. Soc. Speleol. Grèce 21:40–48.
741	Chalkiadakis 1992	Geological observations at the pothole “Drakopigado” of Mavrovouni, Kanalia, Magnisia	1992	Bull. Soc. Speleol. Grèce 20:113.
