Cave_ID	Cave_Name	Cave_Synonyms	Cave_Type	Region	Subregion	Municipality	Settlement	Longitude	Latitude	Altitude	Location_Status	Cave_short_references	Reference_ID	Protection_Status	Cave_Description
1	Spilaio Agiou Ioanni		Natural	Notio Aigaio	Naxos	Naxos & Mikres Kyklades	Irakleia	25.436792625	36.828764758	113	Location known	Petrocheilou 1971b|Petrocheilou 1984	1030|1073	GR4220021 - Nisos Irakleia, Nisoi Makares, Mikros and Megalos Avelas, Nisida Venetiko Irakleias (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17)|K783 - Nisos Irakleia [Wildlife Refuge]: OGG 1052/Β/2000	
2	Spilaio Katsampa		Natural	Ionioi Nisoi	Kerkyra	Kerkyra	Strinyla	19.83949339	39.743802197	703	Location known				
3	Spilaio Garzenikou		Natural	Peloponnisos	Arkadia	Tripoli	Kandila	22.39413559	37.774187019	1071	Location known	Petrocheilou 1959	982	GR2530004 - Oros Oligyrtos (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17)	
4	Spilaio Megali Grava	Bodolekos cave, Höhle am Nordabhang des Pantokratorgebirges, Grotta superiore di Bodolekos, Ano Peristerograva, Peristerograva	Natural	Ionioi Nisoi	Kerkyra	Kerkyra	Loutses	19.890172313	39.77690272	479	Location known	Strouhal 1961|Nikolopoulos & Martzoukos 1957b|Merdenesianos 1969	1164|906|880		
5	Lavrio mine galleries		Artificial	Attiki	Anatoliki Attiki	Lavreotiki	Lavrio	24.038151454	37.713232816	56	Location known			GR3000005 - Sounio - Nisida Patroklou and Paraktia Thalassia Zoni (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17)	
6	Spilaio Chavara		Natural	Attiki	Anatoliki Attiki	Kropia	Kitsi	23.863218743	37.8543079	137	Location known	Petrocheilos 1953c|Santorinaios 1946	961|1114		
7	Spilaio Kerateas	Spilia Nymphis, Spilaio Nymfon,  Spilaio Panos	Natural	Attiki	Anatoliki Attiki	Lavreotiki	Keratea	23.968713	37.790012	600	Location known	Petrocheilou 1984|Petrocheilos 1952b|Petrocheilos 1956a|Lindberg 1955b	1073|956|964|871		
8	Spilaio Panos		Natural	Attiki	Dytiki Attiki	Fyli	Fyli	23.668380689	38.146667725	684	Location known	Deligiorgi 1982|Deligiorgi-Alexopoulou 1980|Deligiorgi-Alexopoulou 1985a|Lindberg 1955b|Petrocheilos 1952b	756|757|758|871|956	K404 - Dasoktima Tatoiou-Salonikis Loimikou-Synidioktito Dasos Gkoura-Parnithas [Wildlife Refuge]: OGG 446/Β/1988|GR3000001 - Oros Parnitha (Special Protection Area - Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17)	
9	Spilaio Drakotrypa		Natural	Kentriki Makedonia	Thessaloniki	Volvi	Vrasna	23.64808369598057	40.70224759272045	80	Location known			GR1220003 - Stena Rentinas - Evryteri Periochi ­ Spilaio Lakkia kai Rema Neromana (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17)|GR1220009 - Limnes Koroneias - Volvis, Stena Rentinas and Evryteri Periochi (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17)	
10	Spilaio Mavri Trypa		Natural	Anatoliki Makedonia-Thraki	Kavala	Kavala	Zygos	24.393166667	41.020644444	301	Location known				
