Cave_ID	Cave_Name	Cave_Synonyms	Cave_Type	Region	Subregion	Municipality	Settlement	Longitude	Latitude	Altitude	Location_Status	Cave_short_references	Reference_ID	Protection_Status	Cave_Description
1	Spilaio Agiou Ioanni	Cave of Irakleia	Natural	Notio Aigaio	Naxos	Naxos & Mikres Kyklades	Irakleia	25.436792625	36.828764758	113	Location known	Petrocheilou 1984|Petrocheilou 1971b	1073|1030	GR4220013 - Mikres Kyklades: Irakleia, Schoinoussa, Koufonisia, Keros, Antikeria Kai thalassia zoni (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17).  <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR4220013" target="_blank"> Check site’s Standard Data Form</a>|K783 - Nisos Irakleia [Wildlife Refuge]: OGG 1052/Β/2000|GR4220021 - Nisos Irakleia, Nisoi Makares, Mikros and Megalos Avelas, Nisida Venetiko Irakleias (Special Protection Area): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR4220021" target="_blank"> Check site’s Standard Data Form</a>	<p class="MsoNormal" style="margin-bottom: .0001pt; line-height: normal;"><span lang="EN-US">The cave of Agios Ioannis is a very well known cave, located on the southwestern part of Irakleia Island at 110m a.s.l. A 2.5 km marked path is leading from Panagia settlement to its entrance. The cave is heavily decorated with a variety of speleothems. There are two main spacious chambers measuring 170 m in total length and covering an area of 2,000 sq. m. Although it&rsquo;s not officially a show cave, several hundred people are visiting it every summer. The cave is dedicated to St John&nbsp;the&nbsp;</span>Prodrome and his memory is celebrated with vespers at the big hall of the cave every year on 28th August.<br />The Polydesmid milliped was cited as "<em>Serradium</em> or <em>Brachydesmus"</em> (Andreev 1986). The&nbsp;<em>Lindbergia</em> species was cited as&nbsp;&nbsp;<em>Lindbergia</em> sp. aff <em>pseudoillyrica</em> (Riedel 1990 &amp; 1992)&nbsp;</p>
2	Spilaio Katsampa		Natural	Ionioi Nisoi	Kerkyra	Kerkyra	Strinyla	19.83949339	39.743802197	703	Location known				
3	Spilaio Garzenikou		Natural	Peloponnisos	Arkadia	Tripoli	Kandila	22.39413559	37.774187019	1071	Location known	Petrocheilou 1959	982	GR2530004 - Oros Oligyrtos (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR2530004" target="_blank"> Check site’s Standard Data Form</a>	<p class="MsoNormal" style="margin-bottom: .0001pt; line-height: normal;"><span lang="EN-US">The cave is located 1.3 km east of Kandyla village, at 1,070m a.s.l. The entrance is small (1*0.6 m). There is one main gallery 100 m in length and 0.5-6.5 m in height with several large rimstone pools.</span></p>
4	Spilaio Megali Grava	Loutses cave, Bodolekos cave, Höhle am Nordabhang des Pantokratorgebirges, Grotta superiore di Bodolekos, Ano Peristerograva, Peristerograva	Natural	Ionioi Nisoi	Kerkyra	Kerkyra	Loutses	19.890172313	39.77690272	479	Location known	Nikolopoulos & Martzoukos 1957b|Merdenesianos 1969	906|880		<p class="MsoNormal" style="margin-bottom: .0001pt; line-height: normal;"><span lang="EN-US">Peristerograva</span><span lang="EN-US"> is located 1.4 km south-east</span><span lang="EN-US"> of the village of Loutses at 480m a.s.l. There is only one large and descending chamber (100m long, 40m deep and 60m high).</span></p>
5	Lavrio mine galleries		Artificial	Attiki	Anatoliki Attiki	Lavreotiki	Lavrio	24.038151454	37.713232816	56	Location known	Leloudas 2005b	1250	GR3000005 - Sounio - Nisida Patroklou and Paraktia Thalassia Zoni (Special Area of Conservation): Law 3937/2011 (OGG/Α 60/31.03.2011), Joint Ministerial Decision 50743/2017 (OGG 4432/B/15.12.17). <a href="http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=GR3000005" target="_blank"> Check site’s Standard Data Form</a>	<p class="MsoNormal" style="margin-bottom: .0001pt; line-height: normal;"><span lang="EN-US">The mines of Lavrio is a huge cluster of vertical wells and horizontal man-made galleries. They have been opened in the wider area of Lavreotiki from the antiquity until 1977&nbsp;when the operation of the lead mines has ceased. The depth of the wells varies from 10 m to 150 m and some are clogged or are in a hazardous condition to visit.</span></p>
6	Spilaio Chavara		Natural	Attiki	Anatoliki Attiki	Kropia	Kitsi	23.863218743	37.8543079	137	Location known	Santorinaios 1946|Petrocheilos 1953c	1114|961		<p class="MsoNormal" style="margin-bottom: .0001pt; line-height: normal;"><span lang="EN-US">A small cave (20m long,</span><span lang="EN-US"> 3.5 to 0.5m in height) located on a hill, 2km east from Kitsi settlement (140m a.s.l.)</span></p>
7	Spilaio Kerateas	Spilaio Lordou Vyrona (Lord;s Byron cave), Spilia Nymphis, Spilaio Nymfon,  Spilaio Panos	Natural	Attiki	Anatoliki Attiki	Lavreotiki	Keratea	23.968713	37.790012	600	Location known	Petrocheilou 1984|Petrocheilos 1956a|Petrocheilos 1952b|Lindberg 1955b|Leloudas 2005b	1073|964|956|871|1250		<p class="MsoNormal" style="margin-bottom: .0001pt; line-height: normal;"><span lang="EN-US">The cave is situated on the southern slopes of the Keratovo</span><span lang="EN-US">uni Mt. (</span>Paneio Mt.)&nbsp;at 600m a.s.l. (Keratea). In a length of 60m, there are 4 main chambers with a total area of 950 sq. m. The cave is decorated with various well-developed speleothems. A rimstone pool is filled with water all year round.</p>
10	Spilaio Mavri Trypa		Natural	Anatoliki Makedonia-Thraki	Kavala	Kavala	Zygos	24.393166667	41.020644444	301	Location known				
11	Spilaio Stavrou		Natural	Kentriki Makedonia	Thessaloniki	Volvi	Stavros	23.693498572	40.660421855	22	Location known				
18	Spilaio Kalampaki	Cave Ton Demonon, Spilaio ton Daimonon	Natural	Notio Aigaio	Paros	Paros	Dryos	25.20794859200001	37.0182	409	Location known	Petrocheilou 1970g|Aliprantis 1962	1026|725		
