Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
12986	1	Absoloniella nitidipennis (Osella, 1989)	Spilaio Agiou Ioanni	1	Osella 1989|Beron 2016|Grebennikov 2014	445|706|686
27318	2	Acanthocreagris corcyraea Mahnert, 1976	Spilaio Katsampa	2	Mahnert 1976a	274
22867	3	Acanthocreagris lycaonis Mahnert, 1978	Spilaio Garzenikou	3	Beron 2016|Mahnert 1978|Schawaller 1985|Harvey 1991	706|302|404|1193
26945	4	Acanthopetalum albidicolle (Verhoeff, 1900)	Spilaio Megali Grava	4	Beron 2016|Strasser 1974|Strasser 1970	706|258|229
1038	5	Acanthopetalum blanci (Brölemann, 1932)	Spilaio Chavara	6	Strasser 1974|Beron 2016	258|706
1124	5	Acanthopetalum blanci (Brölemann, 1932)	Spilaio Panos	8	Strasser 1974	258
9671	5	Acanthopetalum blanci (Brölemann, 1932)	Lavrio mine galleries	5	Strasser 1976|Beron 2016	279|706
28802	5	Acanthopetalum blanci (Brölemann, 1932)	Spilaio Kerateas	7	Brölemann 1932|Wolf 1937b|Wolf 1938|Strasser 1974	71|92|97|258
30917	9	Acanthopetalum carinatum (Brandt, 1840)	Spilaio Katholikou	21	Beron 2016	706
1162	6	Acanthopetalum cycladicum (Verhoeff, 1901)	Spilaio Drakotrypa	9	Strasser 1974|Strasser 1976	258|279
1177	6	Acanthopetalum cycladicum (Verhoeff, 1901)	Spilaio Mavri Trypa	10	Beron 2016	706
1207	6	Acanthopetalum cycladicum (Verhoeff, 1901)	Spilaio Stavrou	11	Strasser 1967	209
1209	6	Acanthopetalum cycladicum (Verhoeff, 1901)	Spilaio Eptamylon	12	Strasser 1976|Beron 2016	279|706
1212	7	Acanthopetalum furculigerum (Verhoeff, 1901)	Spilaio Agias Paraskevis	13	Strasser 1976|Beron 2016	279|706
1291	7	Acanthopetalum furculigerum (Verhoeff, 1901)	Spilaio Katafygi Dirou	14	Beron 2016	706
1318	7	Acanthopetalum furculigerum (Verhoeff, 1901)	Spilaio Milatou	15	Strasser 1976	279
13668	7	Acanthopetalum furculigerum (Verhoeff, 1901)	Spilaio Diktaio Antro	16	Strasser 1974	258
1524	8	Acanthopetalum hoplites Strasser, 1973	Spilaio Andiparou	17	Strasser 1973|Mauriès & Karamaouna 1984|Beron 2016	253|379|706
1548	8	Acanthopetalum hoplites Strasser, 1973	Spilaio Kalampaki	18	Mauriès & Karamaouna 1984|Beron 2016	379|706
1587	8	Acanthopetalum hoplites Strasser, 1973	Spilaio Za	20	Mauriès & Karamaouna 1984|Beron 2016	379|706
9829	8	Acanthopetalum hoplites Strasser, 1973	Spilaio Nymfon-Ancient Marble Quarry	19	Beron 2016|Mauriès & Karamaouna 1984	706|379
1738	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Agias Sofias	22	Strasser 1967	209
1858	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Koumarospilios	23	Beron 2016	706
1936	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Lera	25	Beron 2016	706
9686	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Lavyrinthos Gortinas	24	Wolf 1938|Wolf 1937b|Verhoeff 1929|Attems 1902	97|92|54|18
27160	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Sfentoni Trypa	26	Strasser 1976	279
30918	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Katholikou	21	Beron 2016|Strasser 1974	706|258
1293	11	Acanthopetalum patens Strasser, 1973	Spilaio Katafygi Dirou	14	Strasser 1974	258
1995	11	Acanthopetalum patens Strasser, 1973	Anonymous cave	27	Strasser 1973|Strasser 1974	253|258
1998	11	Acanthopetalum patens Strasser, 1973	Spilaio Alepotrypa	28	Strasser 1974|Beron 2016	258|706
2079	11	Acanthopetalum patens Strasser, 1973	Spilaio Sklavounakou	30	Strasser 1974|Beron 2016	258|706
31084	11	Acanthopetalum patens Strasser, 1973	Spilaio Glyfadas Dirou	29	Beron 2016|Strasser 1974	706|258
14279	12	Acanthopetalum richii (Gray, 1832)	Spilaio Limnon	32	Strasser 1976	279
27082	12	Acanthopetalum richii (Gray, 1832)	Spilaio Chagioti	31	Strasser 1976	279
28538	13	Acanthopetalum sp.	Spilaio Agias Elenis	35	Beron 2016	706
28539	13	Acanthopetalum sp.	Spilaio Drakotrypa	38	Beron 2016	706
28540	13	Acanthopetalum sp.	Mine gallery Skalas Rachoniou	33	Beron 2016	706
28541	13	Acanthopetalum sp.	Spilaio Vredou	47	Strasser 1974	258
28542	13	Acanthopetalum sp.	Spilaio Leondariou	42	Strasser 1974	258
28543	13	Acanthopetalum sp.	Spilaio Agias Sofias	36	Beron 2016	706
28544	13	Acanthopetalum sp.	Spilaio Nymfon	43	Strasser 1976|Beron 2016	279|706
28545	13	Acanthopetalum sp.	Spilaio Fytidi	39	Strasser 1974|Beron 2016	258|706
28546	13	Acanthopetalum sp.	Spilaio Peramatos	44	Strasser 1974|Beron 2016	258|706
28547	13	Acanthopetalum sp.	Spilaio Monis Kipinas	48	Beron 2016	706
28548	13	Acanthopetalum sp.	Spilaio Katafygi	40	Beron 2016	706
28549	13	Acanthopetalum sp.	Spilaio Agias Triadas	37	Beron 2016	706
28550	13	Acanthopetalum sp.	Spilaio Skoteini	45	Beron 2016	706
28551	13	Acanthopetalum sp.	Spilaio Sykias	46	Beron 2016	706
28552	13	Acanthopetalum sp.	Spilaio Kokkalia Trypa	41	Beron 2016	706
28553	13	Acanthopetalum sp.	Spilaio Metaxolakka	34	Beron 2016	706
28803	14	Actaeoniscus petrochilosi Vandel, 1955	Spilaio Kerateas	7	Schmidt & Leistikow 2004|Vandel 1955|Vandel 1959|Schmalfuss 1979|Beron 2016|Alexiou & Sfenthourakis 2013|Schmölzer 1965	558|143|168|317|706|673|198
20857	16	Agabiformius lentus (Budde-Lund, 1885)	Spilaio Koumarospilios	23	Schmalfuss 1972b|Strouhal 1937	248|93
31085	16	Agabiformius lentus (Budde-Lund, 1885)	Spilaio Glyfadas Dirou	29	Beron 2016|Vandel 1959	706|168
15090	18	Agelena orientalis C. L. Koch, 1837	Spilaio Milatou	15	Bosmans et al. 2013|Roewer 1959	678|170
31369	19	Agelena sp.	Spilaio Korykeio Antro	51	Alexiou et al. 2014	681
15096	20	Aglenus brunneus (Gyllenhall, 1813)	Spilaio Koutrouli	52	Coiffait 1955|Beron 2016	134|706
31549	21	Aglossa pinguinalis (Linnaeus, 1758)	Spilaio Thalassinou	53	Beron et al. 2011|Lindberg 1955b|Beron 2016	1208|141|706
2848	22	Alabidocarpus megalonyx (Trouessart, 1895)	Spilaio Kalamato	54	Beron 1974	261
2871	23	Albaniola acutipennis Jeannel, 1934	Spilaio Apano Skalas	55	Jeannel 1934|Beron 2016	77|706
3019	24	Albaniola remyi Jeannel, 1934	Spilaio Paparadon	56	Jeannel 1934|Beron 2016	77|706
2595	25	Albaniola thessalica (Reitter, 1887)	Spilaio Kokkinou Vrachou	49	Reitter 1887|Ganglbauer 1896|Wolf 1937b|Wolf 1938	12|14|92|97
3093	26	Albaniola ulbrichi Jeannel, 1929	Spilaio Kosta Jama	57	Jeannel 1929|Wolf 1937b|Wolf 1938|Beron 2016	50|92|97|706
27399	913	Albinaria corrugata (Olivier, 1801)	Spilaio Neraidospilios 	113	Frank 1988	428
27400	913	Albinaria corrugata (Olivier, 1801)	Spilaio Agias Paraskevis	13	Frank 1988	428
15103	27	Albinaria spratti (Pfeiffer, 1846)	Spilaio Melidoniou	58	Frank 1988|Seidl 1978	428|298
30845	914	Albinaria teres (Olivier, 1801)	Spilaio Karouba	275	Seidl 1978	298
16524	28	Alistratia beroni Andreev, 2004	Spilaio Alistratis	59	Alexiou & Sfenthourakis 2013|Andreev 2004|Beron 2016|Paragamian 1992	673|557|706|468
20863	29	Allacrotelsa kraepelini (Escherich, 1905)	Spilaio Koutrouli	52	Wygodzinsky 1958	165
13567	30	Allaegopis jonicus (Kaufel, 1930)	Spilaio Egklouvis	60	Beron 2016|Käufel 1930|Riedel 1992	706|63|465
13568	30	Allaegopis jonicus (Kaufel, 1930)	Cave "Polu Trypes"	61	Käufel 1930|Riedel 1992	63|465
26768	17	Allagelena gracilens (C. L. Koch, 1841)	Spilaio Nymfolyptou	50	Roewer 1959|Brignoli 1979a|Beron 2016|Bosmans & Chatzaki 2005	170|320|706|579
22904	31	Allochernes powelli (Kew, 1916)	Spilaio Katsouri	66	Beron 2016|Mahnert 1975	706|264
22905	31	Allochernes powelli (Kew, 1916)	Spilaio Gravolithia	63	Beron 2016|Mahnert 1975	706|264
22906	31	Allochernes powelli (Kew, 1916)	Spilaio Karoucha	64	Beron 2016|Mahnert 1975	706|264
22907	31	Allochernes powelli (Kew, 1916)	Spilaio Koumarospilios	23	Beron 2016|Mahnert 1979|Wolf 1938|Wolf 1937b|Beier 1931a	706|310|97|92|65
22909	31	Allochernes powelli (Kew, 1916)	Spilaio sta Pelekita	69	Beron 2016|Mahnert 1979	706|310
22910	31	Allochernes powelli (Kew, 1916)	Spilaio Katsibourdou	65	Beron 2016|Mahnert 1979	706|310
22911	31	Allochernes powelli (Kew, 1916)	Spilaio Nychteridon	70	Mahnert 2013|Beron 2016|Mahnert 1979	677|706|310
22912	31	Allochernes powelli (Kew, 1916)	Spilaio Kyklopa	62	Mahnert 2013|Beron 2016|Beron 1985	677|706|399
22913	31	Allochernes powelli (Kew, 1916)	Spilaio Zoodochou Pigis I	71	Mahnert 2013	677
29694	31	Allochernes powelli (Kew, 1916)	Spilaio Panagias Arkoudiotisas	68	Mahnert 1979|Beron 2016	310|706
3647	32	Allocosa sp.	Spilaio Isvoron	72	Roewer 1959	170
26753	33	Alopecosa albofasciata (Brullé, 1832)	Spilaio Petala	168	Beron 2016|Roewer 1962	706|183
26754	33	Alopecosa albofasciata (Brullé, 1832)	Spilaio Kamilari	74	Bosmans & Chatzaki 2005|Bosmans et al. 2013|Roewer 1959	579|678|170
26755	33	Alopecosa albofasciata (Brullé, 1832)	Spilaio Kato Marathospilios	75	Bosmans & Chatzaki 2005|Roewer 1959|Bosmans et al. 2013	579|170|678
31491	33	Alopecosa albofasciata (Brullé, 1832)	Spilaio Kakavoulas	73	Roewer 1959|Brignoli 1979a|Beron 2016|Bosmans & Chatzaki 2005	170|320|706|579
31370	34	Alpioniscus epigani Vandel, 1959	Spilaio Korykeio Antro	51	Vandel 1959|Vandel 1964a|Schmalfuss 1979|Beron 2016	168|189|317|706
3877	35	Alpioniscus giurensis Schmalfuss, 1981	Spilaio Kyklopa	76	Schmalfuss 1981|Beron 2016	340|706
30231	36	Alpioniscus gueorguievi Andreev, 2013	Spilaio Arkoudospilia	77	Andreev 2013|Beron 2016	664|706
16539	37	Alpioniscus henroti Vandel, 1964	Spilaio Garzenikou	3	Beron 2016|Schmalfuss 1979|Vandel 1955	706|317|143
16540	37	Alpioniscus henroti Vandel, 1964	Spilaio Titanospilia	79	Beron 2016	706
16541	37	Alpioniscus henroti Vandel, 1964	Spilaio Nerospilia	78	Beron 2016|Andreev 2013	706|664
16542	37	Alpioniscus henroti Vandel, 1964	Spilaio Metaxolakka	34	Beron 2016|Andreev 2013	706|664
16557	38	Alpioniscus matsakisi Andreev, 1984	Spilaio Skoteini	45	Beron 2016|Andreev 1984|Andreev & Bozarova 2000	706|385|526
16697	39	Alpioniscus sp.	Spilaio Leondariou	42	Beron 2016|Schmalfuss 1979|Vandel 1955	706|317|143
16561	40	Alpioniscus thracicus Andreev, 1986	Spilaio Maroneias	80	Andreev 1986|Beron 2016|Andreev & Bozarova 2000|Paragamian et al. 2004	417|706|526|1178
16665	41	Alpioniscus vejdovskyi (Frankenberger, 1939)	Caves around Naoussa	81	Rémy 1951|Beron 2016|Schmalfuss 1979|Frankenberger 1939|Schmidt & Leistikow 2004	118|706|317|98|558
16666	41	Alpioniscus vejdovskyi (Frankenberger, 1939)	Spilaio Apano Skalas	55	Schmalfuss 1979|Rémy 1951|Beron 2016|Vandel 1946	317|118|706|112
16667	41	Alpioniscus vejdovskyi (Frankenberger, 1939)	Spilaio Paparadon	56	Schmalfuss 1979|Rémy 1951|Beron 2016|Vandel 1959|Vandel 1946	317|118|706|168|112
16669	41	Alpioniscus vejdovskyi (Frankenberger, 1939)	Spilaio Bujor	82	Vandel 1946|Beron 2016|Rémy 1951|Schmalfuss 1979	112|706|118|317
16670	41	Alpioniscus vejdovskyi (Frankenberger, 1939)	Spilaio Kalito	83	Vandel 1946|Beron 2016|Rémy 1951|Schmalfuss 1979	112|706|118|317
30232	41	Alpioniscus vejdovskyi (Frankenberger, 1939)	Spilaio Arkoudospilia	77	Schmalfuss 1979|Rémy 1951|Beron 2016|Vandel 1946	317|118|706|112
15118	42	Alucita grammodactyla Zeller, 1841	Spilaio Katafygi Dirou	14	Beron 2016|Lindberg 1955b	706|141
20003	43	Amaurobius candia Thaler & Knoflach, 2002	Spilaio Kamilari	74	Naumova et al. 2016	708
29587	44	Amaurobius cretaensis Wunderlich, 1995	Spilaio Atsiganospilios	84	Beron 2016|Bosmans et al. 2013|Gasparo 2003	706|678|556
29591	45	Amaurobius deelemanae Thaler & Knoflach, 1995	Spilaio Fanariotissas	85	Thaler & Knoflach 1995|Bosmans & Chatzaki 2005|Beron 2016	496|579|706
30031	46	Amaurobius pelops Thaler & Knoflach, 1991	Spilaio Koutouki	86	Beron 2016|Thaler & Knoflach 1995|Bosmans & Chatzaki 2005	706|496|579
4184	47	Amaurobius sp.	Spilaio Voudli	88	Beron 2016	706
4230	47	Amaurobius sp.	Spilaio Vreikou	89	Beron 2016	706
21396	47	Amaurobius sp.	Spilaio Stylokamara	87	Beron 2016	706
29603	48	Amaurobius strandi Charitonov, 1937	Spilaio Koutouki	86	Beron 2016|Thaler & Knoflach 1995|Bosmans & Chatzaki 2005	706|496|579
20846	49	Amaurorhinus hauseri Osella, 1983	Spilaio Katafygi Dirou	14	Osella 1983|Beron 2016|Osella & Zuppa 1998|Hlaváč & Maughan 2013|Morrone & Hlaváč 2017	370|706|512|1188|1168
12905	50	Amblyiulus aphroditae (Attems, 1902)	Spilaio Chonos Sarchou	90	Beron 2016|Lang 1964	706|191
12906	51	Amblyiulus creticus (Verhoeff, 1901)	Spilaio Chonos Sarchou	90	Beron 2016|Strasser 1976|Lang 1964	706|279|191
22897	52	Amblyolpium graecum Mahnert, 1976	Spilaio Dimitras Melainas	91	Beron 2016|Mahnert 1976b|Harvey 1991	706|276|1193
22452	53	Amilenus aurantiacus (Simon, 1881)	Cave "Polu Trypes"	61	Roewer 1930|Beron 2016	64|706
15124	54	Amphipyra effusa Boisduval, 1828	Spilaio Maroneias	80	Beron 2016	706
15125	54	Amphipyra effusa Boisduval, 1828	Spilaio Anemotrypa	95	Beron 2016	706
15126	54	Amphipyra effusa Boisduval, 1828	Spilaio Bujor	82	Beron 2016	706
15127	54	Amphipyra effusa Boisduval, 1828	Spilaio Kontylos	92	Alexiou et al. 2014	681
15128	54	Amphipyra effusa Boisduval, 1828	Spilaio Agiou Athanasiou	93	Alexiou et al. 2014	681
15129	54	Amphipyra effusa Boisduval, 1828	Spilaio Neraidospilia	94	Alexiou et al. 2014	681
15130	54	Amphipyra effusa Boisduval, 1828	Spilaio Nerospilia	78	Beron 2016	706
4429	55	Anamastigona sp.	Spilaio Tymfis I	96	Beron 2016	706
2600	56	Anemadus graecus (Kraatz, 1870)	Spilaio Kokkinou Vrachou	49	Ganglbauer 1896	14
21591	56	Anemadus graecus (Kraatz, 1870)	Spilaio Koufovounou	97	Guéorguiev 2004|Beron 2016	567|706
2602	57	Anemadus pellitus Reitter, 1885	Spilaio Kokkinou Vrachou	49	Ganglbauer 1896	14
4500	57	Anemadus pellitus Reitter, 1885	Spilaio Aera	98	Casale & Vigna Taglianti 1990	459
14280	57	Anemadus pellitus Reitter, 1885	Spilaio Limnon	32	Beron 2016	706
4418	58	Anemadus sp.	Spilaio Anemotrypa	95	Beron 2016	706
29969	59	Anemadus strigosus (Kraatz, 1852)	Spilaio Megalo Spilaio	99	Beron 2016	706
15140	60	Anopheles claviger (Meigen, 1804)	Spilaio Afantou	100	Beron 2016|Bezzi 1929|Ghigi 1929	706|57|47
12987	61	Antrobythus perplexus Besuchet, 1993	Spilaio Agiou Ioanni	1	Beron 2016|Besuchet 1993	706|472
15144	62	Aphodius granarius (Linnaeus, 1767)	Spilaio Ellinospilios	101	Beron 2016|Coiffait 1955	706|134
