Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
35402	1	Absoloniella nitidipennis (Osella, 1989)	Spilaio Agiou Ioanni	1	Osella 1989|Beron 2016|Grebennikov 2014|Morrone & Hlaváč 2017|Caladra 2011	445|706|686|1168|1216
27318	2	Acanthocreagris corcyraea Mahnert, 1976	Spilaio Katsampa	2	Mahnert 1976a	274
22867	3	Acanthocreagris lycaonis Mahnert, 1978	Spilaio Garzenikou	3	Beron 2016|Mahnert 1978|Schawaller 1985|Harvey 1991	706|302|404|1193
31765	4	Acanthopetalum albidicolle (Verhoeff, 1900)	Spilaio Megali Grava	4	Stagl & Stoev 2005|Stoev et al. 2008|Moritz & Fischer 1974|Strasser 1970|Strasser 1974|Beron 2016	580|1166|1209|229|258|706
31790	5	Acanthopetalum blanci (Brölemann, 1932)	Spilaio Chavara	6	Beron 2016|Stoev et al. 2008|Strasser 1974	706|1166|258
31791	5	Acanthopetalum blanci (Brölemann, 1932)	Spilaio tou Kitsou	453	Strasser 1976|Beron 2016|Stoev et al. 2008	279|706|1166
31792	5	Acanthopetalum blanci (Brölemann, 1932)	Spilaio Kerateas	7	Brölemann 1932|Wolf 1937b|Wolf 1938|Strasser 1974|Stoev et al. 2008	71|92|97|258|1166
31793	5	Acanthopetalum blanci (Brölemann, 1932)	Spilaio Panos	8	Beron 2016|Stoev et al. 2008|Strasser 1974	706|1166|258
31809	6	Acanthopetalum cycladicum (Verhoeff, 1901)	Spilaio Eptamylon	12	Stoev et al. 2008|Beron 2016|Strasser 1976	1166|706|279
31810	6	Acanthopetalum cycladicum (Verhoeff, 1901)	Spilaio Stavrou	11	Stoev et al. 2008|Strasser 1967	1166|209
31811	6	Acanthopetalum cycladicum (Verhoeff, 1901)	Spilaio Drakotrypa	9	Beron 2016|Strasser 1967|Strasser 1976|Strasser 1974|Stoev et al. 2008	706|209|279|258|1166
38402	6	Acanthopetalum cycladicum (Verhoeff, 1901)	Spilaio Mavri Trypa	10	Beron 2016	706
31823	7	Acanthopetalum furculigerum (Verhoeff, 1901)	Spilaio Agias Paraskevis	13	Strasser 1976|Stoev et al. 2008|Felesaki et al. 2010|Beron 2016	279|1166|636|706
31824	7	Acanthopetalum furculigerum (Verhoeff, 1901)	Spilaio Milatou	15	Felesaki et al. 2010|Strasser 1976|Stoev et al. 2008	636|279|1166
31825	7	Acanthopetalum furculigerum (Verhoeff, 1901)	Spilaio Diktaio Antro	16	Strasser 1974|Strasser 1976|Felesaki et al. 2010|Stoev et al. 2008	258|279|636|1166
32067	8	Acanthopetalum hoplites Strasser, 1973	Spilaio Andiparou	17	Stoev et al. 2008|Beron 2016|Mauriès & Karamaouna 1984|Strasser 1973	1166|706|379|253
32068	8	Acanthopetalum hoplites Strasser, 1973	Spilaio Kalampaki	18	Beron 2016|Mauriès & Karamaouna 1984|Stoev et al. 2008	706|379|1166
32069	8	Acanthopetalum hoplites Strasser, 1973	Spilaio Nymfon-Ancient Marble Quarry	19	Beron 2016|Mauriès & Karamaouna 1984|Stoev et al. 2008	706|379|1166
36758	8	Acanthopetalum hoplites Strasser, 1973	Spilaio Za	20	Mauriès & Karamaouna 1984|Beron 2016|Stoev et al. 2008	379|706|1166
31895	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Ellinospilios	101	Felesaki et al. 2010|Lang 1964	636|191
31896	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Agias Triadas Tzagkarolon	107	Felesaki et al. 2010|Lang 1964	636|191
31898	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Koumarospilios	23	Beron 2016|Strasser 1974|Felesaki et al. 2010	706|258|636
31899	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Lera	25	Beron 2016|Strasser 1974|Felesaki et al. 2010	706|258|636
31900	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Agias Sofias	22	Strasser 1967|Felesaki et al. 2010	209|636
31901	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Lavyrinthos Gortinas	24	Wolf 1938|Wolf 1937b|Verhoeff 1929|Attems 1902|Stoev et al. 2008	97|92|54|18|1166
31902	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Sfentoni Trypa	26	Strasser 1976|Felesaki et al. 2010	279|636
32249	10	Acanthopetalum minotauri (Attems, 1902)	Spilaio Katholikou	21	Felesaki et al. 2010|Beron 2016|Strasser 1974|Strasser 1976|Lang 1964	636|706|258|279|191
31877	11	Acanthopetalum patens Strasser, 1973	Spilaio Alepotrypa	28	Beron 2016|Strasser 1974	706|258
31878	11	Acanthopetalum patens Strasser, 1973	Spilaio Glyfadas Dirou	29	Strasser 1974|Beron 2016	258|706
31879	11	Acanthopetalum patens Strasser, 1973	Spilaio Katafygi Dirou	14	Beron 2016|Stoev et al. 2008|Strasser 1973|Strasser 1974	706|1166|253|258
31880	11	Acanthopetalum patens Strasser, 1973	Spilaio Sklavounakou	30	Strasser 1974|Beron 2016	258|706
31967	11	Acanthopetalum patens Strasser, 1973	Anonymous cave at Peloponnisos	27	Stoev et al. 2008|Strasser 1974|Strasser 1973	1166|258|253
14279	12	Acanthopetalum richii (Gray, 1832)	Spilaio Limnon	32	Strasser 1976	279
27082	12	Acanthopetalum richii (Gray, 1832)	Spilaio Chagioti	31	Strasser 1976	279
31927	13	Acanthopetalum sp.	Spilaio Panos	8	Beron 2016|Strasser 1974	706|258
31928	13	Acanthopetalum sp.	Spilaio Agias Elenis	35	Beron 2016	706
31929	13	Acanthopetalum sp.	Spilaio Drakotrypa	38	Beron 2016	706
31930	13	Acanthopetalum sp.	Mine gallery Skalas Rachoniou	33	Beron 2016	706
31931	13	Acanthopetalum sp.	Spilaio Vredou	47	Beron 2016|Strasser 1974	706|258
31933	13	Acanthopetalum sp.	Spilaio Agias Sofias	36	Beron 2016	706
31934	13	Acanthopetalum sp.	Spilaio Nymfon	43	Beron 2016|Strasser 1976	706|279
31935	13	Acanthopetalum sp.	Spilaio Fytidi	39	Beron 2016|Strasser 1974	706|258
31936	13	Acanthopetalum sp.	Spilaio Peramatos	44	Beron 2016|Strasser 1974	706|258
31938	13	Acanthopetalum sp.	Spilaio Katafygi	40	Beron 2016	706
31939	13	Acanthopetalum sp.	Spilaio Agias Triadas	37	Beron 2016	706
31940	13	Acanthopetalum sp.	Spilaio Skoteini	45	Beron 2016	706
31941	13	Acanthopetalum sp.	Spilaio Sykias	46	Beron 2016	706
31942	13	Acanthopetalum sp.	Spilaio Kokkalia Trypa	41	Beron 2016	706
31943	13	Acanthopetalum sp.	Spilaio Metaxolakka	34	Beron 2016	706
38737	13	Acanthopetalum sp.	Spilaio Monis Kipinas	48	Beron 2016	706
41699	13	Acanthopetalum sp.	Spilaio Leondariou	42	Beron 2016|Strasser 1974	706|258
28803	14	Actaeoniscus petrochilosi Vandel, 1955	Spilaio Kerateas	7	Schmidt & Leistikow 2004|Vandel 1955|Vandel 1959|Schmalfuss 1979|Beron 2016|Alexiou & Sfenthourakis 2013|Schmölzer 1965	558|143|168|317|706|673|198
20857	16	Agabiformius lentus (Budde-Lund, 1885)	Spilaio Koumarospilios	23	Schmalfuss 1972b|Strouhal 1937	248|93
31085	16	Agabiformius lentus (Budde-Lund, 1885)	Spilaio Glyfadas Dirou	29	Beron 2016|Vandel 1959	706|168
15090	18	Agelena orientalis C. L. Koch, 1837	Spilaio Milatou	15	Bosmans et al. 2013|Roewer 1959	678|170
33531	19	Agelena sp.	Spilaio Korykeio Antro	51	Alexiou et al. 2014	681
15096	20	Aglenus brunneus (Gyllenhall, 1813)	Spilaio Koutrouli	52	Coiffait 1955|Beron 2016	134|706
31549	21	Aglossa pinguinalis (Linnaeus, 1758)	Spilaio Thalassinou	53	Beron et al. 2011|Lindberg 1955b|Beron 2016	1208|141|706
2848	22	Alabidocarpus megalonyx (Trouessart, 1895)	Spilaio Kalamato	54	Beron 1974	261
38241	23	Albaniola acutipennis Jeannel, 1934	Spilaio Apano Skalas	55	Zoia & Rampini 1991|Jeannel 1934|Beron 2016	1215|77|706
34955	24	Albaniola remyi Jeannel, 1934	Spilaio Paparadon	56	Beron 2016|Jeannel 1934|Zoia & Rampini 1991	706|77|1215
35908	25	Albaniola thessalica (Reitter, 1887)	Spilaio Kokkinou Vrachou	49	Wolf 1938|Pretner 2011|Wolf 1937b|Ganglbauer 1896|Reitter 1887|Zoia & Rampini 1991|Beron 2016	97|653|92|14|12|1215|706
39638	26	Albaniola ulbrichi Jeannel, 1929	Spilaio Kosta	57	Giachino & Lana 2005|Jeannel 1929|Wolf 1937b|Wolf 1938|Beron 2016|Zoia & Rampini 1991|Pretner 2011	576|50|92|97|706|1215|653
27399	913	Albinaria corrugata (Olivier, 1801)	Spilaio Neraidospilios 	113	Frank 1988	428
27400	913	Albinaria corrugata (Olivier, 1801)	Spilaio Agias Paraskevis	13	Frank 1988	428
15103	27	Albinaria spratti (Pfeiffer, 1846)	Spilaio Melidoniou	58	Frank 1988|Seidl 1978	428|298
