Species ID	Species_Full_Name	Genus	Family	Order	Class	Phylum	Protection_Status	Locus_Typicus_Cave	Locus_Typicus_Cave_ID	Distribution	Link_IUCN	Link_GBIF	Link_Fauna_Europaea	Link_NCBI	Link_PESI	Greek_Red_Data_Book	IUCN_Red_List	Classification	Comments
1	Absoloniella nitidipennis (Osella, 1989)	Absoloniella	Erirhinidae	Coleoptera	Insecta	Arthropoda		Spilaio Agiou Ioanni	1	Endemic to Greece		https://www.gbif.org/species/4469733	https://fauna-eu.org/cdm_dataportal/taxon/e380ef16-5504-40f8-bc6b-eb0ce39fef0f		http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:217869	NE - Not Evaluated	NE - Not Evaluated	Troglophile?	<p>Only known from the type locality.</p>
2	Acanthocreagris corcyraea Mahnert, 1976	Acanthocreagris	Neobisiidae	Pseudoscorpionida	Arachnida	Arthropoda		Spilaio Katsampa	2	Endemic to Greece		https://www.gbif.org/species/2125740	https://fauna-eu.org/cdm_dataportal/taxon/4bc3ce68-48e2-4757-b385-53952806d6da		http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:396031	NE - Not Evaluated	NE - Not Evaluated	Troglophile	
3	Acanthocreagris lycaonis Mahnert, 1978	Acanthocreagris	Neobisiidae	Pseudoscorpionida	Arachnida	Arthropoda		Spilaio Garzenikou	3	Endemic to Greece		https://www.gbif.org/species/2125749	https://fauna-eu.org/cdm_dataportal/taxon/26fef085-15e2-4468-8c85-606124595f9c		http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:396035	NE - Not Evaluated	NE - Not Evaluated	Troglobiont	<p>Only known from the type locality.</p>
4	Acanthopetalum albidicolle (Verhoeff, 1900)	Acanthopetalum	Schizopetalidae	Callipodida	Diplopoda	Arthropoda				Albania,  Greece		https://www.gbif.org/species/1011769	https://fauna-eu.org/cdm_dataportal/taxon/f4183752-094d-47b1-986f-21615be03927		http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:326799	NE - Not Evaluated	NE - Not Evaluated	Troglophile	
5	Acanthopetalum blanci (Brölemann, 1932)	Acanthopetalum	Schizopetalidae	Callipodida	Diplopoda	Arthropoda		Spilaio Kerateas	7	Endemic to Greece		https://www.gbif.org/species/1011795	https://fauna-eu.org/cdm_dataportal/taxon/1064a49c-1bf9-4b6f-929b-96492a239263		http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:326801	NE - Not Evaluated	NE - Not Evaluated	Troglophile	<p>Known from Attiki.</p>
6	Acanthopetalum cycladicum (Verhoeff, 1901)	Acanthopetalum	Schizopetalidae	Callipodida	Diplopoda	Arthropoda			0	Endemic to Greece		https://www.gbif.org/species/1011774	http://www.fauna-eu.org/cdm_dataportal/taxon/a7df3531-a1f9-402b-8532-c754ce8eedf0		http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:326811	NE - Not Evaluated	NE - Not Evaluated	Troglophile	<p>Known from Chalkidiki, eastern Macedonia, and Syros island.&nbsp;</p>
7	Acanthopetalum furculigerum (Verhoeff, 1901)	Acanthopetalum	Schizopetalidae	Callipodida	Diplopoda	Arthropoda				Greece,  Turkey		https://www.gbif.org/species/1011805	http://www.fauna-eu.org/cdm_dataportal/taxon/f5accfad-6969-49e4-9566-f5f661e3d2cb		http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:326813	NE - Not Evaluated	NE - Not Evaluated	Troglophile	
8	Acanthopetalum hoplites Strasser, 1973	Acanthopetalum	Schizopetalidae	Callipodida	Diplopoda	Arthropoda		Spilaio Antiparou	17	Endemic to Greece		https://www.gbif.org/species/1011776	http://www.fauna-eu.org/cdm_dataportal/taxon/9e0c3e40-fda5-4b78-881b-a01c073cf22e		http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:326817	NE - Not Evaluated	NE - Not Evaluated	Troglophile	<p>Known from caves on Paros, Antiparos and Naxos</p>
10	Acanthopetalum minotauri (Attems, 1902)	Acanthopetalum	Schizopetalidae	Callipodida	Diplopoda	Arthropoda		Spilaio Lavyrinthos Gortynas	24	Endemic to Greece		https://www.gbif.org/species/1011788	http://www.fauna-eu.org/cdm_dataportal/taxon/03440a98-756f-4b88-b885-38b2339c8232		http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:326818	NE - Not Evaluated	NE - Not Evaluated	Troglophile	<p>Known from several localities in Crete, mostly in caves</p>
11	Acanthopetalum patens Strasser, 1973	Acanthopetalum	Schizopetalidae	Callipodida	Diplopoda	Arthropoda		Anonymous cave at Peloponnisos	27	Endemic to Greece		https://www.gbif.org/species/1011810	http://www.fauna-eu.org/cdm_dataportal/taxon/b34b3765-1f51-4ec4-93ac-54de14d2cbbc		http://www.eu-nomen.eu/portal/taxon.php?GUID=urn:lsid:faunaeur.org:taxname:326819	NE - Not Evaluated	NE - Not Evaluated	Troglophile	<p>Known from caves around Pyrgos Didou (Lakonia, Peloponnisos)</p>
