OBJECTID	NEW	FORMATION	color_manual
2	f	ΦΛΥΣΧΟΕΙΔΗ - ΣΧΙΣΤΟΛΙΘΙΚΑ ΑΛΛΟΧΘΟΝΩΝ ΣΕΙΡΩΝ	#ED3F00
3	fo	ΦΛΥΣΧΗΣ ΤΕΚΤΟΝΙΚΟΥ ΚΑΛΥΜΜΑΤΟΣ ΖΩΝΗΣ ΠΙΝΔΟΥ	#D28435
4	ft	ΦΛΥΣΧΗΣ ΤΕΚΤΟΝΙΚΟΥ ΚΑΛΥΜΜΑΤΟΣ ΖΩΝΗΣ ΤΡΙΠΟΛΗΣ	#A7B361
5	J-E	ΕΝΟΤΗΤΑ ΠΛΑΚΩΔΩΝ ΑΣΒΕΣΤΟΛΙΘΩΝ	#81CD90
6	K-E	ΑΝΘΡΑΚΙΚΑ ΤΕΚΤΟΝΙΚΟΥ ΚΑΛΥΜΜΑΤΟΣ ΖΩΝΗΣ ΠΙΝΔΟΥ	#88CDC2
8	K.k	ΑΝΘΡΑΚΙΚΑ ΤΕΚΤΟΝΙΚΟΥ ΚΑΛΥΜΜΑΤΟΣ ΖΩΝΗΣ ΤΡΙΠΟΛΗΣ	#88CDF4
9	K.m	ΑΝΘΡΑΚΙΚΑ ΑΛΛΟΧΘΟΝΩΝ ΣΕΙΡΩΝ	#89B1FF
10	Mk	ΝΕΟΓΕΝΗ	#888DFF
11	Mm.I	ΝΕΟΓΕΝΗ	#8F73F9
12	o	ΟΦΙΟΛΙΘΙΚΟ ΣΥΜΠΛΕΓΜΑ ΑΛΛΟΧΘΟΝΩΝ ΣΕΙΡΩΝ	#BE88DE
13	Ph-T	ΦΥΛΛΙΤΙΚΗ - ΧΑΛΑΖΙΤΙΚΗ ΣΕΙΡΑ	#E19FC3
14	Q.al	ΤΕΤΑΡΤΟΓΕΝΗ	#E8999A
15	T.br	ΑΝΘΡΑΚΙΚΑ ΤΕΚΤΟΝΙΚΟΥ ΚΑΛΥΜΜΑΤΟΣ ΖΩΝΗΣ ΤΡΥΠΑΛΙΟΥ	#DC8069
1	-	NA	#CC6739
